,Name,Position,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total
3156,S. Chukwueze,SUB,91.0,84.0,86.0,72.0,47.0,380.0
3157,O. Toivonen,RES,36.0,44.0,62.0,65.0,62.0,269.0
3158,Zainadine,RCB,68.0,73.0,65.0,77.0,86.0,369.0
3159,P. Schürpf,SUB,73.0,70.0,49.0,72.0,61.0,325.0
3160,A. Pulido,ST,74.0,76.0,76.0,75.0,60.0,361.0
3161,A. Vigo,SUB,84.0,83.0,80.0,80.0,70.0,397.0
3162,B. Sigurðarson,SUB,76.0,75.0,83.0,75.0,73.0,382.0
3163,21 M. Bauer,RES,75.0,78.0,72.0,65.0,72.0,362.0
3164,R. Carrascal,LCM,65.0,66.0,70.0,80.0,68.0,349.0
3165,14 N. Anelka,SUB,59.0,66.0,72.0,69.0,56.0,322.0
3166,Josan,SUB,85.0,85.0,79.0,70.0,53.0,372.0
3167,P. Cornud,LB,78.0,78.0,70.0,83.0,70.0,379.0
3168,R. Ziegler,LCB,45.0,48.0,50.0,68.0,67.0,278.0
3169,F. Di Francesco,RS,76.0,81.0,79.0,72.0,42.0,350.0
3170,E. Gnahoré,RES,59.0,58.0,57.0,70.0,66.0,310.0
3171,M. Coulibaly,RCM,74.0,76.0,69.0,70.0,70.0,359.0
3172,A. Sarcevic,RCM,62.0,63.0,80.0,74.0,67.0,346.0
3173,Salvi Sánchez,RM,88.0,90.0,80.0,71.0,53.0,382.0
3174,João Mário,RB,76.0,75.0,65.0,65.0,55.0,336.0
3175,C. Adam,LCM,35.0,33.0,46.0,66.0,85.0,265.0
3176,Wagner Orsinho,SUB,78.0,76.0,65.0,67.0,61.0,347.0
3177,20 G. Peñalba,CAM,50.0,51.0,52.0,61.0,74.0,288.0
3178,Waldo,LW,85.0,90.0,81.0,68.0,60.0,384.0
3179,21 A. Chávez,SUB,67.0,71.0,63.0,72.0,78.0,351.0
3180,C. Pellerano,LCM,51.0,57.0,66.0,73.0,80.0,327.0
3181,M. Santos,SUB,75.0,76.0,73.0,73.0,81.0,378.0
3182,G. Defrel,SUB,85.0,80.0,80.0,49.0,53.0,347.0
3183,J. Allen,SUB,76.0,75.0,81.0,82.0,65.0,379.0
3184,E. Choupo-Moting,SUB,69.0,73.0,73.0,72.0,57.0,344.0
3185,Z. Tripić,LW,80.0,82.0,74.0,76.0,82.0,394.0
3186,21 M. Díaz,SUB,71.0,67.0,85.0,64.0,60.0,347.0
3187,Carlos Neva,LB,79.0,78.0,76.0,80.0,69.0,382.0
3188,M. Ponce,SUB,70.0,70.0,67.0,78.0,73.0,358.0
3189,20 C. Pontius,SUB,54.0,61.0,67.0,72.0,67.0,321.0
3190,D. Rodríguez,SUB,68.0,62.0,71.0,78.0,77.0,356.0
3191,S. Kurt,RDM,64.0,61.0,70.0,81.0,60.0,336.0
3192,D. Machado,SUB,83.0,88.0,77.0,76.0,67.0,391.0
3193,Víctor Gómez,RB,76.0,75.0,75.0,76.0,66.0,368.0
3194,A. Mayorga,LB,82.0,81.0,82.0,78.0,70.0,393.0
3195,T. Deeney,RS,50.0,50.0,60.0,50.0,83.0,293.0
3196,R. Kent,LF,90.0,91.0,91.0,83.0,70.0,425.0
3197,K. Balanta,SUB,79.0,86.0,72.0,89.0,85.0,411.0
3198,O. Benítez,SUB,75.0,76.0,81.0,71.0,59.0,362.0
3199,P. Stojanović,RB,82.0,77.0,63.0,78.0,83.0,383.0
3200,21 M. Benítez,SUB,78.0,74.0,80.0,67.0,47.0,346.0
3201,V. Marchetti,SUB,69.0,70.0,79.0,73.0,64.0,355.0
3202,D. Giannoulis,LB,80.0,83.0,76.0,80.0,70.0,389.0
3203,F. Schnellhardt,LDM,80.0,62.0,77.0,73.0,59.0,351.0
3204,K. Mitoma,SUB,80.0,76.0,84.0,68.0,58.0,366.0
3205,O. Lewicki,SUB,65.0,59.0,80.0,89.0,73.0,366.0
3206,M. Phillips,SUB,79.0,78.0,74.0,67.0,54.0,352.0
3207,Nacho Méndez,SUB,71.0,68.0,77.0,77.0,66.0,359.0
3208,K. Nagato,LB,73.0,74.0,67.0,89.0,70.0,373.0
3209,F. Coman,RES,84.0,84.0,80.0,71.0,58.0,377.0
3210,S. Pierotti,SUB,69.0,71.0,70.0,60.0,60.0,330.0
3211,D. Barinov,RCM,69.0,67.0,65.0,78.0,78.0,357.0
3212,21 M. Ricci,CM,75.0,70.0,79.0,80.0,71.0,375.0
3213,Pipa,SUB,74.0,76.0,70.0,72.0,65.0,357.0
3214,16 Dani Estrada,SUB,70.0,75.0,77.0,70.0,64.0,356.0
3215,19 C. Rodríguez,RES,76.0,70.0,71.0,74.0,72.0,363.0
3216,L. Gómez,SUB,78.0,77.0,85.0,80.0,58.0,378.0
3217,A. Weimann,RM,82.0,81.0,76.0,82.0,74.0,395.0
3218,J. Ekkelenkamp,LF,66.0,60.0,64.0,75.0,64.0,329.0
3219,R. Rojas,SUB,78.0,80.0,71.0,75.0,72.0,376.0
3220,P. Tachtsidis,CAM,46.0,48.0,38.0,62.0,74.0,268.0
3221,Patric,SUB,69.0,70.0,67.0,64.0,75.0,345.0
3222,Edu Expósito,LDM,62.0,46.0,61.0,68.0,70.0,307.0
3223,T. Kunimoto,SUB,82.0,77.0,76.0,72.0,60.0,367.0
3224,S. Williams,LDM,51.0,53.0,58.0,70.0,70.0,302.0
3225,J. Stacey,SUB,74.0,75.0,73.0,78.0,65.0,365.0
3226,M. Coutadeur,RDM,50.0,56.0,77.0,74.0,75.0,332.0
3227,21 E. Ndoj,SUB,75.0,70.0,66.0,69.0,64.0,344.0
3228,D. Worrall,RWB,80.0,77.0,82.0,85.0,49.0,373.0
3229,B. Smeets,CAM,65.0,63.0,50.0,80.0,82.0,340.0
3230,A. Artean,CM,68.0,69.0,66.0,76.0,76.0,355.0
3231,20 D. Beasley,LB,75.0,74.0,75.0,70.0,65.0,359.0
3232,R. Oudin,SUB,70.0,74.0,72.0,73.0,42.0,331.0
3233,Bernardo,SUB,68.0,74.0,63.0,74.0,72.0,351.0
3234,K. Nagai,SUB,89.0,93.0,85.0,91.0,61.0,419.0
3235,C. Rotondi,LM,78.0,80.0,86.0,77.0,73.0,394.0
3236,19 T. Barnetta,LW,52.0,65.0,66.0,49.0,53.0,285.0
3237,R. Ghezzal,RW,72.0,71.0,80.0,67.0,48.0,338.0
3238,Pedrildo Rocha,LM,76.0,78.0,76.0,71.0,34.0,335.0
3239,S. de Vrij,CB,69.0,74.0,61.0,80.0,77.0,361.0
3240,A. Gomes,SUB,77.0,73.0,87.0,61.0,53.0,351.0
3241,21 Z. Kalmár,RDM,62.0,64.0,73.0,55.0,47.0,301.0
3242,J. Rothwell,LCM,81.0,78.0,80.0,79.0,59.0,377.0
3243,A. Esswein,RM,76.0,66.0,65.0,72.0,72.0,351.0
3244,20 F. Zuculini,CM,66.0,69.0,74.0,68.0,71.0,348.0
3245,17 Jordi Gómez,SUB,54.0,49.0,59.0,61.0,59.0,282.0
3246,I. Pillud,SUB,66.0,64.0,58.0,72.0,77.0,337.0
3247,17 J. Makoun,SUB,64.0,66.0,61.0,69.0,65.0,325.0
3248,M. Topal,SUB,47.0,49.0,60.0,72.0,66.0,294.0
3249,Tete Morente,SUB,83.0,79.0,80.0,73.0,63.0,378.0
3250,K. Tete,SUB,75.0,77.0,70.0,74.0,73.0,369.0
3251,Caio Alexandre,SUB,66.0,69.0,81.0,75.0,70.0,361.0
3252,Eguaras,CDM,61.0,54.0,62.0,77.0,63.0,317.0
3253,21 V. Ćorluka,RCB,49.0,58.0,57.0,68.0,76.0,308.0
3254,C. Thompson,RCM,75.0,73.0,80.0,83.0,77.0,388.0
3255,R. Matarrita,LB,78.0,78.0,74.0,76.0,71.0,377.0
3256,Rubén Díez,SUB,78.0,77.0,79.0,72.0,60.0,366.0
3257,Joselu,SUB,81.0,79.0,75.0,86.0,74.0,395.0
3258,H. Nordtveit,SUB,40.0,65.0,55.0,63.0,72.0,295.0
3259,D. Rensch,SUB,79.0,81.0,74.0,70.0,72.0,376.0
3260,K. Peterson,LM,81.0,82.0,82.0,70.0,52.0,367.0
3261,Diego Oliveira,ST,73.0,78.0,63.0,76.0,64.0,354.0
3262,J. Jones,SUB,78.0,78.0,76.0,72.0,69.0,373.0
3263,21 N. Schouterden,LWB,72.0,72.0,77.0,73.0,64.0,358.0
3264,A. Cardozo Lucena,RCM,69.0,63.0,65.0,80.0,71.0,348.0
3265,T. Lindenhahn,SUB,72.0,75.0,81.0,84.0,78.0,390.0
3266,H. Morita,LCM,69.0,66.0,69.0,69.0,70.0,343.0
3267,18 R. Rogers,RES,73.0,75.0,72.0,58.0,66.0,344.0
3268,I. Mboyo,SUB,66.0,68.0,66.0,68.0,71.0,339.0
3269,E. García,LB,71.0,70.0,87.0,86.0,56.0,370.0
3270,M. Pouraliganji,LCB,69.0,69.0,62.0,76.0,71.0,347.0
3271,A. Aouchiche,SUB,70.0,70.0,72.0,63.0,47.0,322.0
3272,K. Onose,RM,71.0,69.0,78.0,78.0,71.0,367.0
3273,M. Erdinç,SUB,68.0,64.0,69.0,65.0,66.0,332.0
3274,20 L. Cavanda,RES,68.0,75.0,70.0,50.0,73.0,336.0
3275,J. Bogle,RES,81.0,81.0,76.0,75.0,67.0,380.0
3276,F. Moubandje,SUB,69.0,67.0,68.0,80.0,73.0,357.0
3277,Carlos Mané,SUB,90.0,87.0,90.0,62.0,55.0,384.0
3278,Nuno Tavares,SUB,85.0,87.0,77.0,78.0,68.0,395.0
3279,21 Y. Bammou,RES,65.0,67.0,70.0,65.0,76.0,343.0
3280,G. Rodríguez,RDM,53.0,55.0,49.0,77.0,83.0,317.0
3281,André Almeida,RCM,76.0,69.0,78.0,84.0,69.0,376.0
3282,M. Polidar,SUB,78.0,78.0,71.0,71.0,73.0,371.0
3283,21 D. Di Gennaro,RES,66.0,67.0,67.0,60.0,59.0,319.0
3284,M. Hallberg,RES,62.0,66.0,70.0,75.0,70.0,343.0
3285,21 L. Antonelli,SUB,65.0,71.0,69.0,68.0,64.0,337.0
3286,14 Pablo,SUB,80.0,82.0,66.0,67.0,72.0,367.0
3287,Sergio León,SUB,76.0,73.0,77.0,65.0,65.0,356.0
3288,D. Verde,RW,84.0,84.0,89.0,67.0,58.0,382.0
3289,L. Donnelly,SUB,67.0,62.0,67.0,68.0,72.0,336.0
3290,F. Di Santo,ST,67.0,68.0,65.0,73.0,72.0,345.0
3291,20 V. Dragomir,RES,73.0,75.0,73.0,73.0,50.0,344.0
3292,J. David,RS,83.0,87.0,77.0,85.0,33.0,365.0
3293,G. Plata,SUB,86.0,85.0,88.0,69.0,61.0,389.0
3294,A. Ömür,RW,84.0,82.0,92.0,72.0,52.0,382.0
3295,21 L. Azouni,LCM,73.0,69.0,73.0,76.0,72.0,363.0
3296,Daniel Podence,SUB,94.0,86.0,92.0,75.0,67.0,414.0
3297,J. Portillo,SUB,77.0,77.0,76.0,81.0,81.0,392.0
3298,S. Weissman,ST,74.0,80.0,68.0,69.0,65.0,356.0
3299,20 R. Elm,CM,50.0,45.0,63.0,51.0,60.0,269.0
3300,S. Otálvaro,RB,77.0,74.0,69.0,75.0,64.0,359.0
3301,A. Al Obaid,LB,81.0,75.0,81.0,78.0,61.0,376.0
3302,Y. Ravet,RM,73.0,72.0,77.0,80.0,57.0,359.0
3303,N. Gießelmann,LWB,67.0,65.0,67.0,76.0,71.0,346.0
3304,Y. Konoplyanka,SUB,78.0,73.0,76.0,66.0,52.0,345.0
3305,S. Okazaki,SUB,63.0,56.0,76.0,61.0,72.0,328.0
3306,E. Hestad,RM,78.0,73.0,81.0,77.0,60.0,369.0
3307,D. Wotherspoon,LW,68.0,67.0,76.0,83.0,56.0,350.0
3308,Nico Melamed,LM,84.0,83.0,84.0,63.0,60.0,374.0
3309,R. Niyaz,CAM,77.0,73.0,85.0,70.0,53.0,358.0
3310,S. Ghoddos,SUB,61.0,60.0,68.0,69.0,63.0,321.0
3311,21 C. Clemens,SUB,72.0,73.0,67.0,65.0,59.0,336.0
3312,I. Moriba,SUB,70.0,73.0,70.0,75.0,58.0,346.0
3313,F. Magnanelli,RES,57.0,53.0,59.0,60.0,85.0,314.0
3314,S. Longstaff,SUB,61.0,54.0,56.0,72.0,54.0,297.0
3315,R. Rep,RES,69.0,71.0,62.0,75.0,53.0,330.0
3316,21 Rúben Micael,RCM,62.0,55.0,70.0,50.0,69.0,306.0
3317,J. Hernández,ST,72.0,65.0,74.0,69.0,59.0,339.0
3318,M. Lanzini,SUB,76.0,66.0,84.0,53.0,48.0,327.0
3319,21 B. Hämäläinen,RES,67.0,65.0,65.0,70.0,69.0,336.0
3320,G. Taylor,SUB,75.0,73.0,79.0,84.0,73.0,384.0
3321,Fabrício Baiano,RB,86.0,88.0,68.0,88.0,81.0,411.0
3322,20 Charles,SUB,62.0,59.0,79.0,58.0,66.0,324.0
3323,M. Duelund,CAM,76.0,71.0,82.0,68.0,73.0,370.0
3324,M. James,RCM,54.0,50.0,58.0,68.0,68.0,298.0
3325,A. Warda,SUB,80.0,78.0,67.0,71.0,59.0,355.0
3326,21 Leonardo,SUB,80.0,81.0,83.0,63.0,72.0,379.0
3327,A. Ramos,LS,68.0,70.0,67.0,69.0,62.0,336.0
3328,E. Velarde,SUB,67.0,67.0,69.0,68.0,65.0,336.0
3329,17 Arbeloa,RES,63.0,68.0,59.0,67.0,78.0,335.0
3330,M. Potzmann,SUB,79.0,76.0,74.0,70.0,64.0,363.0
3331,21 R. Edwards,RES,72.0,64.0,81.0,92.0,70.0,379.0
3332,21 J. Zmrhal,RF,76.0,78.0,67.0,72.0,54.0,347.0
3333,J. Damm,SUB,92.0,92.0,88.0,74.0,64.0,410.0
3334,R. Zambrano,SUB,72.0,72.0,85.0,69.0,75.0,373.0
3335,G. Pizarro,SUB,53.0,33.0,51.0,91.0,85.0,313.0
3336,F. Kamano,LS,86.0,85.0,79.0,68.0,59.0,377.0
3337,Akapo,RB,80.0,88.0,75.0,79.0,77.0,399.0
3338,K. Drygas,SUB,53.0,63.0,68.0,70.0,78.0,332.0
3339,18 N. de Jong,SUB,60.0,62.0,67.0,74.0,87.0,350.0
3340,J. Pi,LDM,59.0,67.0,80.0,90.0,66.0,362.0
3341,L. Verstraete,LDM,66.0,66.0,61.0,78.0,72.0,343.0
3342,T. Domgjoni,SUB,71.0,69.0,70.0,79.0,66.0,355.0
3343,F. Pizzini,RF,81.0,75.0,82.0,67.0,54.0,359.0
3344,K. Løkberg,SUB,66.0,63.0,84.0,85.0,70.0,368.0
3345,A. Elis,RS,91.0,89.0,81.0,75.0,74.0,410.0
3346,C. Forrester,RCM,67.0,65.0,75.0,74.0,62.0,343.0
3347,S. Grahovac,SUB,62.0,63.0,71.0,88.0,71.0,355.0
3348,19 L. Marković,RES,82.0,85.0,89.0,49.0,41.0,346.0
3349,C. Guanca,CAM,79.0,78.0,76.0,76.0,54.0,363.0
3350,21 Aday Benítez,SUB,72.0,72.0,80.0,80.0,62.0,366.0
3351,16 D. Milito,LS,65.0,62.0,62.0,52.0,46.0,287.0
3352,21 A. Mazzotta,SUB,74.0,76.0,69.0,79.0,71.0,369.0
3353,Bruno Xadas,CAM,75.0,72.0,76.0,54.0,58.0,335.0
3354,Y. Ideguchi,RCM,64.0,77.0,63.0,88.0,72.0,364.0
3355,K. Magennis,CAM,73.0,72.0,70.0,75.0,69.0,359.0
3356,D. Tijanić,SUB,78.0,73.0,84.0,73.0,64.0,372.0
3357,D. Yearwood,SUB,82.0,82.0,79.0,83.0,75.0,401.0
3358,C. Knasmüllner,SUB,78.0,81.0,78.0,81.0,55.0,373.0
3359,A. Bassi,CAM,72.0,67.0,76.0,72.0,59.0,346.0
3360,J. Price,RCM,53.0,43.0,71.0,78.0,82.0,327.0
3361,K. Gutiérrez,LCM,81.0,72.0,81.0,80.0,75.0,389.0
3362,Ailton Valpaços,RCB,69.0,60.0,68.0,75.0,80.0,352.0
3363,P. Olsen,LCM,60.0,66.0,73.0,86.0,77.0,362.0
3364,G. Arteaga,LB,82.0,79.0,81.0,77.0,64.0,383.0
3365,Q. Bernard,LB,61.0,65.0,64.0,92.0,67.0,349.0
3366,V. Pavlidis,ST,74.0,76.0,70.0,83.0,70.0,373.0
3367,20 G. Cano,ST,63.0,73.0,75.0,72.0,48.0,331.0
3368,Santi Comesaña,LDM,65.0,62.0,62.0,78.0,63.0,330.0
3369,21 M. Farrero,SUB,80.0,76.0,88.0,70.0,67.0,381.0
3370,21 Jonatan Soriano,SUB,64.0,50.0,78.0,63.0,58.0,313.0
3371,J. Torres Nilo,SUB,64.0,68.0,69.0,83.0,87.0,371.0
3372,Artur,SUB,59.0,66.0,77.0,84.0,84.0,370.0
3373,R. Hennings,ST,60.0,57.0,60.0,72.0,75.0,324.0
3374,21 C. Mavrias,SUB,78.0,77.0,73.0,76.0,55.0,359.0
3375,D. Moberg Karlsson,RM,84.0,90.0,79.0,72.0,49.0,374.0
3376,Gao Lin,RS,67.0,65.0,59.0,69.0,66.0,326.0
3377,F. Madrigal,SUB,67.0,69.0,65.0,81.0,59.0,341.0
3378,20 S. Gleeson,RES,59.0,66.0,68.0,73.0,72.0,338.0
3379,L. Schaub,SUB,64.0,53.0,84.0,73.0,62.0,336.0
3380,M. Gibbs-White,RCM,73.0,68.0,74.0,66.0,57.0,338.0
3381,K. Diks,RB,77.0,73.0,75.0,85.0,69.0,379.0
3382,A. Djiku,RCB,61.0,80.0,68.0,81.0,78.0,368.0
3383,21 T. Bruns,SUB,68.0,67.0,73.0,71.0,67.0,346.0
3384,S. Szmodics,CAM,83.0,77.0,90.0,86.0,62.0,398.0
3385,18 E. Braafheid,SUB,63.0,65.0,69.0,66.0,67.0,330.0
3386,J. Moreno,RCM,58.0,66.0,54.0,77.0,74.0,329.0
3387,M. Lund,LDM,66.0,67.0,61.0,80.0,73.0,347.0
3388,Rodolfo Pittaça,LS,48.0,53.0,50.0,73.0,80.0,304.0
3389,21 Ailton,SUB,77.0,76.0,77.0,70.0,78.0,378.0
3390,Brian Oliván,LB,70.0,75.0,67.0,92.0,80.0,384.0
3391,P. Herrmann,SUB,75.0,66.0,76.0,67.0,58.0,342.0
3392,T. Conlon,LCM,63.0,63.0,91.0,82.0,70.0,369.0
3393,Teixe Gaúcho,LCB,71.0,75.0,70.0,71.0,75.0,362.0
3394,K. Dempsey,RCM,72.0,70.0,69.0,91.0,63.0,365.0
3395,S. Diarra,LDM,66.0,66.0,77.0,83.0,74.0,366.0
3396,S. Hanca,RM,77.0,76.0,86.0,70.0,66.0,375.0
3397,12 A. Akman,SUB,54.0,41.0,59.0,50.0,84.0,288.0
3398,F. Kiss,CDM,37.0,34.0,62.0,88.0,81.0,302.0
3399,20 H. Toledo,RES,78.0,77.0,76.0,71.0,55.0,357.0
3400,J. Lopy,LDM,70.0,66.0,74.0,90.0,66.0,366.0
3401,F. Tait,SUB,76.0,70.0,74.0,77.0,60.0,357.0
3402,C. Reilly,SUB,65.0,61.0,67.0,85.0,81.0,359.0
3403,19 N. Pareja,RCB,37.0,31.0,38.0,32.0,81.0,219.0
3404,G. Belaud,SUB,70.0,55.0,70.0,69.0,74.0,338.0
3405,21 S. Downing,RES,59.0,55.0,71.0,56.0,38.0,279.0
3406,21 S. Bender,CB,62.0,68.0,63.0,74.0,83.0,350.0
3407,G. Nkoudou,LW,94.0,94.0,92.0,67.0,46.0,393.0
3408,D. Kinsombi,RCM,75.0,66.0,73.0,74.0,69.0,357.0
3409,B. Wiles,LCM,72.0,71.0,81.0,86.0,63.0,373.0
3410,K. Smith,SUB,66.0,66.0,70.0,77.0,73.0,352.0
3411,M. Samatta,LS,81.0,80.0,75.0,75.0,65.0,376.0
3412,K. Grosicki,SUB,79.0,78.0,79.0,54.0,43.0,333.0
3413,S. Kerk,RCM,65.0,78.0,72.0,84.0,40.0,339.0
3414,21 Cicinho,LM,81.0,76.0,80.0,70.0,71.0,378.0
3415,20 L. Crisetig,SUB,50.0,52.0,67.0,75.0,66.0,310.0
3416,M. Thychosen,RCB,80.0,79.0,81.0,82.0,70.0,392.0
3417,O. Moruțan,RM,76.0,75.0,85.0,74.0,60.0,370.0
3418,16 D. Berbatov,ST,54.0,60.0,69.0,52.0,42.0,277.0
3419,M. Olivera,LCB,72.0,66.0,68.0,67.0,68.0,341.0
3420,S. Prcić,SUB,51.0,54.0,71.0,73.0,61.0,310.0
3421,L. Dimata,SUB,78.0,77.0,72.0,67.0,76.0,370.0
3422,E. Çolak,SUB,68.0,65.0,78.0,66.0,52.0,329.0
3423,21 Lúcio Corteijo,RB,74.0,79.0,71.0,78.0,72.0,374.0
3424,Fali,LCB,54.0,55.0,50.0,82.0,90.0,331.0
3425,N. Lima,RB,78.0,85.0,73.0,76.0,72.0,384.0
3426,Lourency,LW,79.0,80.0,83.0,76.0,62.0,380.0
3427,R. Williams,SUB,85.0,80.0,90.0,90.0,73.0,418.0
3428,U. Đurđević,ST,75.0,83.0,77.0,89.0,85.0,409.0
3429,20 M. Büchel,SUB,76.0,65.0,78.0,74.0,68.0,361.0
3430,Jordi Calavera,RB,74.0,80.0,76.0,85.0,71.0,386.0
3431,S. Rahimi,LM,87.0,84.0,75.0,79.0,49.0,374.0
3432,A. Bernede,SUB,60.0,69.0,72.0,73.0,72.0,346.0
3433,M. Anderson,SUB,84.0,82.0,80.0,82.0,75.0,403.0
3434,L. Gamba,RS,93.0,84.0,91.0,68.0,27.0,363.0
3435,O. Omoijuanfo,ST,73.0,77.0,71.0,77.0,70.0,368.0
3436,21 K. Prince,RS,81.0,85.0,67.0,70.0,72.0,375.0
3437,J. Fontaine,RCM,76.0,50.0,66.0,82.0,63.0,337.0
3438,Mario Suárez,SUB,34.0,47.0,57.0,64.0,74.0,276.0
3439,L. Garbutt,LB,71.0,72.0,71.0,72.0,66.0,352.0
3440,J. Christensen,SUB,68.0,72.0,74.0,78.0,67.0,359.0
3441,M. Autret,LCM,65.0,68.0,74.0,53.0,55.0,315.0
3442,M. Yamane,RB,72.0,83.0,54.0,82.0,64.0,355.0
3443,J. Hauge,RM,89.0,88.0,81.0,83.0,45.0,386.0
3444,Sergio Gómez,LB,72.0,66.0,82.0,64.0,63.0,347.0
3445,L. Quiñones,SUB,91.0,93.0,90.0,68.0,69.0,411.0
3446,E. Ocansey,SUB,89.0,84.0,92.0,71.0,57.0,393.0
3447,S. Kittel,LW,78.0,86.0,85.0,71.0,39.0,359.0
3448,Àlex Corredera,RM,62.0,70.0,72.0,77.0,58.0,339.0
3449,M. Vojvoda,SUB,71.0,69.0,68.0,71.0,70.0,349.0
3450,K. Michael,RES,74.0,75.0,75.0,71.0,48.0,343.0
3451,A. Limbombe,SUB,79.0,85.0,86.0,36.0,61.0,347.0
3452,J. Arias,LW,83.0,82.0,90.0,78.0,45.0,378.0
3453,19 R. Mavuba,SUB,55.0,54.0,63.0,67.0,76.0,315.0
3454,21 S. Ardero,LM,86.0,78.0,89.0,67.0,41.0,361.0
3455,A. Saint-Maximin,LS,93.0,90.0,93.0,74.0,36.0,386.0
3456,A. Dzyuba,ST,63.0,66.0,55.0,78.0,80.0,342.0
3457,Alberto Perea,SUB,76.0,77.0,81.0,62.0,59.0,355.0
3458,Iago Falqué,SUB,73.0,69.0,80.0,60.0,48.0,330.0
3459,J. Alcívar,LCM,68.0,65.0,70.0,73.0,59.0,335.0
3460,Hélder Lopes,SUB,73.0,76.0,65.0,68.0,72.0,354.0
3461,19 O. Abdulrahman,RES,84.0,76.0,87.0,71.0,44.0,362.0
3462,L. Akins,LM,75.0,72.0,72.0,84.0,72.0,375.0
3463,D. Ba,RS,63.0,65.0,58.0,61.0,65.0,312.0
3464,S. Sinclair,SUB,82.0,78.0,87.0,73.0,47.0,367.0
3465,Lucas Piazón,SUB,70.0,69.0,72.0,64.0,49.0,324.0
3466,A. Vega,SUB,79.0,78.0,77.0,78.0,55.0,367.0
3467,Ángel,ST,71.0,71.0,72.0,55.0,72.0,341.0
3468,21 Francis,SUB,82.0,79.0,77.0,68.0,59.0,365.0
3469,J. Taylor,RDM,69.0,69.0,81.0,86.0,68.0,373.0
3470,J. Sheehan,LCM,81.0,77.0,82.0,91.0,61.0,392.0
3471,B. Özcan,LCM,72.0,65.0,77.0,70.0,58.0,342.0
3472,C. Borja,LB,86.0,85.0,75.0,77.0,68.0,391.0
3473,T. Kędziora,RB,74.0,79.0,71.0,80.0,72.0,376.0
3474,19 P. Barrientos,SUB,61.0,61.0,77.0,50.0,65.0,314.0
3475,D. McGoldrick,LS,64.0,66.0,69.0,69.0,57.0,325.0
3476,S. McCallum,LWB,80.0,80.0,65.0,70.0,67.0,362.0
3477,A. Dragović,RCB,62.0,47.0,64.0,66.0,80.0,319.0
3478,21 W. Barrios,RCM,76.0,71.0,75.0,92.0,84.0,398.0
3479,Sergi Enrich,RES,55.0,54.0,67.0,75.0,66.0,317.0
3480,S. Plavšić,SUB,88.0,84.0,89.0,75.0,67.0,403.0
3481,A. Losilla,RCM,54.0,52.0,67.0,85.0,67.0,325.0
3482,H. Onyekuru,SUB,93.0,92.0,91.0,69.0,53.0,398.0
3483,Joelinton,SUB,74.0,77.0,69.0,73.0,78.0,371.0
3484,K. Rüegg,SUB,79.0,78.0,70.0,77.0,77.0,381.0
3485,J. Hoilett,ST,84.0,81.0,84.0,55.0,66.0,370.0
3486,20 A. Szymanowski,SUB,78.0,79.0,78.0,63.0,54.0,352.0
3487,Aitor García,RM,82.0,86.0,82.0,77.0,48.0,375.0
3488,21 M. Musacchio,SUB,65.0,62.0,70.0,61.0,76.0,334.0
3489,I. Schranz,LM,81.0,85.0,70.0,78.0,65.0,379.0
3490,20 Àngel Rangel,RB,51.0,47.0,68.0,53.0,68.0,287.0
3491,J. Onomah,SUB,68.0,66.0,73.0,73.0,59.0,339.0
3492,21 Adrián López,SUB,73.0,76.0,72.0,54.0,58.0,333.0
3493,18 J. Guerrón,RES,77.0,75.0,71.0,74.0,78.0,375.0
3494,K. Piątkowski,SUB,80.0,82.0,73.0,82.0,77.0,394.0
3495,J. Villafaña,SUB,75.0,73.0,74.0,77.0,55.0,354.0
3496,C. Tarragona,SUB,82.0,83.0,81.0,85.0,87.0,418.0
3497,Y. Benrahou,RM,73.0,73.0,88.0,62.0,42.0,338.0
3498,Pedro Chirivella,LDM,62.0,65.0,75.0,78.0,73.0,353.0
3499,20 K. Fisker,SUB,73.0,65.0,80.0,87.0,78.0,383.0
3500,19 Javi Márquez,SUB,54.0,42.0,70.0,52.0,74.0,292.0
3501,D. Gape,SUB,68.0,66.0,83.0,79.0,74.0,370.0
3502,A. Gorgon,RES,71.0,72.0,73.0,72.0,61.0,349.0
3503,21 T. Shiotani,RCB,67.0,70.0,52.0,90.0,72.0,351.0
3504,Y. Sabaly,SUB,77.0,78.0,73.0,77.0,67.0,372.0
3505,M. Lestienne,RES,77.0,75.0,84.0,66.0,54.0,356.0
3506,R. Zerrouki,LCM,73.0,74.0,71.0,77.0,78.0,373.0
3507,R. Doan,SUB,78.0,79.0,86.0,77.0,41.0,361.0
3508,Jon Morcillo,SUB,77.0,76.0,80.0,63.0,43.0,339.0
3509,J. Cifuentes,LCM,64.0,68.0,68.0,70.0,77.0,347.0
3510,H. Wolf,SUB,80.0,75.0,77.0,70.0,54.0,356.0
3511,X. Kouassi,RCB,72.0,69.0,82.0,80.0,75.0,378.0
3512,F. Carrizo,SUB,88.0,88.0,83.0,73.0,55.0,387.0
3513,Caio,SUB,79.0,81.0,80.0,71.0,64.0,375.0
3514,M. Bakakis,SUB,76.0,76.0,80.0,70.0,64.0,366.0
3515,18 Y. Kermorgant,SUB,43.0,47.0,50.0,66.0,74.0,280.0
3516,F. Holst,RCM,84.0,81.0,74.0,84.0,70.0,393.0
