,Name,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total,Acceleration Proportion,SprintSpeed Proportion,Agility Proportion,Stamina Proportion,Aggression Proportion
1080,R. Brady,79.0,78.0,74.0,74.0,58.0,363.0,0.21763085399449036,0.21487603305785125,0.20385674931129477,0.20385674931129477,0.15977961432506887
1081,A. Szymanowski,89.0,83.0,83.0,68.0,55.0,378.0,0.23544973544973544,0.21957671957671956,0.21957671957671956,0.17989417989417988,0.1455026455026455
1082,W. Reid,55.0,65.0,54.0,64.0,83.0,321.0,0.17133956386292834,0.20249221183800623,0.16822429906542055,0.19937694704049844,0.2585669781931464
1083,Cédric,79.0,78.0,74.0,86.0,75.0,392.0,0.20153061224489796,0.1989795918367347,0.18877551020408162,0.2193877551020408,0.1913265306122449
1084,R. Civelli,49.0,36.0,33.0,66.0,83.0,267.0,0.18352059925093633,0.1348314606741573,0.12359550561797752,0.24719101123595505,0.31086142322097376
1085,R. Loftus-Cheek,68.0,74.0,73.0,75.0,79.0,369.0,0.1842818428184282,0.2005420054200542,0.1978319783197832,0.2032520325203252,0.2140921409214092
1086,S. De Maio,61.0,67.0,54.0,63.0,74.0,319.0,0.19122257053291536,0.21003134796238246,0.16927899686520376,0.1974921630094044,0.23197492163009403
1087,S. Brown,66.0,68.0,77.0,87.0,90.0,388.0,0.17010309278350516,0.17525773195876287,0.19845360824742267,0.22422680412371135,0.23195876288659795
1088,A. Mitrović,60.0,64.0,67.0,64.0,89.0,344.0,0.1744186046511628,0.18604651162790697,0.19476744186046513,0.18604651162790697,0.25872093023255816
1089,P. Skjelbred,66.0,55.0,77.0,86.0,79.0,363.0,0.18181818181818182,0.15151515151515152,0.21212121212121213,0.2369146005509642,0.21763085399449036
1090,D. Cvitanich,68.0,62.0,72.0,69.0,68.0,339.0,0.20058997050147492,0.18289085545722714,0.21238938053097345,0.20353982300884957,0.20058997050147492
1091,K. Lasagna,89.0,88.0,81.0,69.0,40.0,367.0,0.24250681198910082,0.23978201634877383,0.22070844686648503,0.1880108991825613,0.10899182561307902
1092,R. Palacio,79.0,77.0,79.0,65.0,78.0,378.0,0.20899470899470898,0.2037037037037037,0.20899470899470898,0.17195767195767195,0.20634920634920634
1093,M. Wolf,83.0,84.0,68.0,86.0,73.0,394.0,0.21065989847715735,0.2131979695431472,0.17258883248730963,0.2182741116751269,0.18527918781725888
1094,E. Gigliotti,61.0,63.0,68.0,78.0,71.0,341.0,0.17888563049853373,0.18475073313782991,0.19941348973607037,0.2287390029325513,0.20821114369501467
1095,N. Jørgensen,75.0,73.0,65.0,81.0,60.0,354.0,0.211864406779661,0.2062146892655367,0.18361581920903955,0.2288135593220339,0.1694915254237288
1096,Laguardia,54.0,63.0,50.0,76.0,89.0,332.0,0.16265060240963855,0.1897590361445783,0.15060240963855423,0.2289156626506024,0.2680722891566265
1097,J. Lukaku,89.0,93.0,78.0,76.0,74.0,410.0,0.21707317073170732,0.22682926829268293,0.1902439024390244,0.18536585365853658,0.18048780487804877
1098,J. Augustin,85.0,88.0,79.0,66.0,47.0,365.0,0.2328767123287671,0.2410958904109589,0.21643835616438356,0.18082191780821918,0.12876712328767123
1099,M. Diakhaby,57.0,59.0,46.0,75.0,76.0,313.0,0.18210862619808307,0.18849840255591055,0.14696485623003194,0.23961661341853036,0.24281150159744408
1100,Douglas,33.0,41.0,44.0,44.0,38.0,200.0,0.165,0.205,0.22,0.22,0.19
1101,N. Pejčinović,43.0,62.0,58.0,71.0,82.0,316.0,0.1360759493670886,0.1962025316455696,0.18354430379746836,0.22468354430379747,0.25949367088607594
1102,D. van de Beek,66.0,65.0,70.0,82.0,68.0,351.0,0.18803418803418803,0.18518518518518517,0.19943019943019943,0.2336182336182336,0.19373219373219372
1103,Borja Iglesias,65.0,69.0,61.0,75.0,42.0,312.0,0.20833333333333334,0.22115384615384615,0.1955128205128205,0.2403846153846154,0.1346153846153846
1104,G. Shibasaki,69.0,67.0,76.0,74.0,65.0,351.0,0.19658119658119658,0.1908831908831909,0.21652421652421652,0.21082621082621084,0.18518518518518517
1105,W. Hughes,67.0,59.0,71.0,74.0,70.0,341.0,0.19648093841642228,0.17302052785923755,0.20821114369501467,0.21700879765395895,0.20527859237536658
1106,S. Boufal,84.0,79.0,89.0,67.0,47.0,366.0,0.22950819672131148,0.21584699453551912,0.24316939890710382,0.1830601092896175,0.1284153005464481
1107,T. Kehrer,74.0,76.0,69.0,74.0,80.0,373.0,0.19839142091152814,0.2037533512064343,0.18498659517426275,0.19839142091152814,0.21447721179624665
1108,M. Lang,69.0,76.0,66.0,85.0,69.0,365.0,0.18904109589041096,0.20821917808219179,0.18082191780821918,0.2328767123287671,0.18904109589041096
1109,E. Gutiérrez,78.0,76.0,69.0,91.0,60.0,374.0,0.20855614973262032,0.20320855614973263,0.18449197860962566,0.24331550802139038,0.16042780748663102
1110,D. Upamecano,73.0,85.0,61.0,61.0,81.0,361.0,0.20221606648199447,0.23545706371191136,0.16897506925207756,0.16897506925207756,0.22437673130193905
1111,Jefferson,77.0,74.0,74.0,88.0,79.0,392.0,0.19642857142857142,0.18877551020408162,0.18877551020408162,0.22448979591836735,0.20153061224489796
1112,W. Benítez,48.0,48.0,43.0,42.0,28.0,209.0,0.22966507177033493,0.22966507177033493,0.20574162679425836,0.20095693779904306,0.1339712918660287
1113,E. Bardhi,76.0,66.0,76.0,71.0,54.0,343.0,0.22157434402332363,0.1924198250728863,0.22157434402332363,0.20699708454810495,0.15743440233236153
1114,K. Mbodji,63.0,69.0,51.0,82.0,80.0,345.0,0.1826086956521739,0.2,0.14782608695652175,0.23768115942028986,0.2318840579710145
1115,B. Sarr,82.0,83.0,76.0,77.0,78.0,396.0,0.20707070707070707,0.20959595959595959,0.1919191919191919,0.19444444444444445,0.19696969696969696
1116,F. Ferreyra,70.0,72.0,78.0,72.0,58.0,350.0,0.2,0.2057142857142857,0.22285714285714286,0.2057142857142857,0.1657142857142857
1117,Danilo,49.0,53.0,46.0,42.0,78.0,268.0,0.1828358208955224,0.19776119402985073,0.17164179104477612,0.15671641791044777,0.291044776119403
1118,A. Ayew,75.0,75.0,86.0,84.0,78.0,398.0,0.1884422110552764,0.1884422110552764,0.21608040201005024,0.21105527638190955,0.19597989949748743
1119,K. Mitroglou,53.0,62.0,47.0,63.0,75.0,300.0,0.17666666666666667,0.20666666666666667,0.15666666666666668,0.21,0.25
1120,J. Villar,31.0,32.0,50.0,22.0,22.0,157.0,0.19745222929936307,0.20382165605095542,0.3184713375796178,0.14012738853503184,0.14012738853503184
1121,P. Herrmann,79.0,83.0,83.0,64.0,58.0,367.0,0.21525885558583105,0.22615803814713897,0.22615803814713897,0.17438692098092642,0.15803814713896458
1122,D. da Costa,77.0,84.0,68.0,79.0,72.0,380.0,0.2026315789473684,0.22105263157894736,0.17894736842105263,0.20789473684210527,0.18947368421052632
1123,V. Fischer,80.0,83.0,82.0,80.0,68.0,393.0,0.2035623409669211,0.21119592875318066,0.20865139949109415,0.2035623409669211,0.17302798982188294
1124,Wesley,68.0,79.0,50.0,74.0,80.0,351.0,0.19373219373219372,0.22507122507122507,0.14245014245014245,0.21082621082621084,0.22792022792022792
1125,D. Ginczek,66.0,84.0,54.0,62.0,80.0,346.0,0.1907514450867052,0.24277456647398843,0.15606936416184972,0.1791907514450867,0.23121387283236994
1126,F. Kostić,89.0,84.0,77.0,74.0,65.0,389.0,0.22879177377892032,0.2159383033419023,0.19794344473007713,0.19023136246786632,0.16709511568123395
1127,R. Fraser,90.0,87.0,94.0,72.0,65.0,408.0,0.22058823529411764,0.21323529411764705,0.23039215686274508,0.17647058823529413,0.15931372549019607
1128,Cote,69.0,75.0,72.0,74.0,69.0,359.0,0.19220055710306408,0.20891364902506965,0.20055710306406685,0.20612813370473537,0.19220055710306408
1129,H. Winks,75.0,70.0,73.0,78.0,58.0,354.0,0.211864406779661,0.1977401129943503,0.2062146892655367,0.22033898305084745,0.1638418079096045
1130,K. Mbabu,90.0,92.0,78.0,90.0,74.0,424.0,0.21226415094339623,0.2169811320754717,0.18396226415094338,0.21226415094339623,0.17452830188679244
1131,M. Hinteregger,63.0,73.0,62.0,72.0,82.0,352.0,0.17897727272727273,0.20738636363636365,0.17613636363636365,0.20454545454545456,0.23295454545454544
1132,L. Acosta,87.0,78.0,91.0,76.0,69.0,401.0,0.2169576059850374,0.19451371571072318,0.22693266832917705,0.18952618453865336,0.17206982543640897
1133,Sidcley,78.0,83.0,82.0,83.0,67.0,393.0,0.1984732824427481,0.21119592875318066,0.20865139949109415,0.21119592875318066,0.17048346055979643
1134,M. Jørgensen,62.0,68.0,59.0,66.0,85.0,340.0,0.18235294117647058,0.2,0.17352941176470588,0.19411764705882353,0.25
1135,M. Fabián,69.0,66.0,86.0,71.0,64.0,356.0,0.19382022471910113,0.1853932584269663,0.24157303370786518,0.199438202247191,0.1797752808988764
1136,Carlos Eduardo,65.0,74.0,72.0,68.0,60.0,339.0,0.19174041297935104,0.2182890855457227,0.21238938053097345,0.20058997050147492,0.17699115044247787
1137,Rubén Castro,77.0,73.0,85.0,55.0,50.0,340.0,0.22647058823529412,0.21470588235294116,0.25,0.16176470588235295,0.14705882352941177
1138,L. Augustinsson,77.0,79.0,76.0,89.0,68.0,389.0,0.19794344473007713,0.20308483290488433,0.1953727506426735,0.22879177377892032,0.17480719794344474
1139,S. Aziz,74.0,72.0,65.0,74.0,80.0,365.0,0.20273972602739726,0.19726027397260273,0.1780821917808219,0.20273972602739726,0.2191780821917808
1140,G. Ochoa,47.0,50.0,65.0,34.0,19.0,215.0,0.2186046511627907,0.23255813953488372,0.3023255813953488,0.15813953488372093,0.08837209302325581
1141,P. Hetemaj,78.0,74.0,78.0,88.0,86.0,404.0,0.19306930693069307,0.18316831683168316,0.19306930693069307,0.21782178217821782,0.21287128712871287
1142,André André,68.0,69.0,74.0,72.0,77.0,360.0,0.18888888888888888,0.19166666666666668,0.20555555555555555,0.2,0.21388888888888888
1143,Vinícius Júnior,92.0,94.0,90.0,79.0,48.0,403.0,0.228287841191067,0.23325062034739455,0.22332506203473945,0.19602977667493796,0.11910669975186104
1144,B. Džemaili,59.0,65.0,68.0,77.0,78.0,347.0,0.17002881844380405,0.1873198847262248,0.19596541786743515,0.2219020172910663,0.22478386167146974
1145,Juanpe,41.0,63.0,32.0,71.0,79.0,286.0,0.14335664335664336,0.2202797202797203,0.11188811188811189,0.24825174825174826,0.2762237762237762
1146,K. Fortounis,73.0,77.0,78.0,65.0,63.0,356.0,0.2050561797752809,0.21629213483146068,0.21910112359550563,0.18258426966292135,0.17696629213483145
1147,M. Vorm,53.0,54.0,63.0,36.0,23.0,229.0,0.2314410480349345,0.23580786026200873,0.27510917030567683,0.1572052401746725,0.10043668122270742
1148,B. Oczipka,66.0,76.0,65.0,79.0,76.0,362.0,0.18232044198895028,0.20994475138121546,0.17955801104972377,0.21823204419889503,0.20994475138121546
1149,R. Bentancur,67.0,73.0,68.0,83.0,66.0,357.0,0.1876750700280112,0.20448179271708683,0.19047619047619047,0.23249299719887956,0.18487394957983194
1150,T. Hernández,90.0,90.0,76.0,75.0,75.0,406.0,0.22167487684729065,0.22167487684729065,0.18719211822660098,0.18472906403940886,0.18472906403940886
1151,M. Lowton,74.0,70.0,69.0,79.0,76.0,368.0,0.20108695652173914,0.19021739130434784,0.1875,0.21467391304347827,0.20652173913043478
1152,I. Diop,64.0,68.0,46.0,69.0,77.0,324.0,0.19753086419753085,0.20987654320987653,0.1419753086419753,0.21296296296296297,0.23765432098765432
1153,B. André,68.0,73.0,73.0,81.0,75.0,370.0,0.1837837837837838,0.1972972972972973,0.1972972972972973,0.21891891891891893,0.20270270270270271
1154,C. Piccini,74.0,76.0,63.0,81.0,74.0,368.0,0.20108695652173914,0.20652173913043478,0.17119565217391305,0.22010869565217392,0.20108695652173914
1155,Paulinho,67.0,68.0,60.0,74.0,66.0,335.0,0.2,0.20298507462686566,0.1791044776119403,0.2208955223880597,0.19701492537313434
1156,A. Diawara,68.0,70.0,78.0,84.0,82.0,382.0,0.17801047120418848,0.18324607329842932,0.20418848167539266,0.2198952879581152,0.21465968586387435
1157,Yuri Berchiche,78.0,77.0,73.0,82.0,85.0,395.0,0.19746835443037974,0.1949367088607595,0.1848101265822785,0.20759493670886076,0.21518987341772153
1158,José Sá,42.0,48.0,50.0,34.0,20.0,194.0,0.21649484536082475,0.24742268041237114,0.25773195876288657,0.17525773195876287,0.10309278350515463
1159,F. Kamano,90.0,89.0,79.0,71.0,59.0,388.0,0.23195876288659795,0.22938144329896906,0.2036082474226804,0.18298969072164947,0.15206185567010308
1160,F. Cartabia,79.0,72.0,80.0,72.0,80.0,383.0,0.206266318537859,0.18798955613577023,0.20887728459530025,0.18798955613577023,0.20887728459530025
1161,E. Ünal,75.0,74.0,74.0,71.0,43.0,337.0,0.22255192878338279,0.2195845697329377,0.2195845697329377,0.21068249258160238,0.12759643916913946
1162,I. Radovanović,50.0,67.0,58.0,75.0,79.0,329.0,0.1519756838905775,0.20364741641337386,0.1762917933130699,0.22796352583586627,0.24012158054711247
1163,Renan Ribeiro,50.0,48.0,59.0,30.0,13.0,200.0,0.25,0.24,0.295,0.15,0.065
1164,Jony,87.0,85.0,86.0,71.0,60.0,389.0,0.2236503856041131,0.2185089974293059,0.2210796915167095,0.18251928020565553,0.15424164524421594
1165,D. Buonanotte,91.0,85.0,90.0,63.0,30.0,359.0,0.25348189415041783,0.23676880222841226,0.25069637883008355,0.17548746518105848,0.08356545961002786
1166,Tomás Pina,60.0,54.0,64.0,69.0,73.0,320.0,0.1875,0.16875,0.2,0.215625,0.228125
1167,N. Pallois,49.0,63.0,54.0,67.0,86.0,319.0,0.1536050156739812,0.1974921630094044,0.16927899686520376,0.21003134796238246,0.26959247648902823
1168,D. Latza,68.0,64.0,74.0,90.0,79.0,375.0,0.18133333333333335,0.17066666666666666,0.19733333333333333,0.24,0.21066666666666667
1169,F. Belluschi,69.0,69.0,79.0,63.0,73.0,353.0,0.1954674220963173,0.1954674220963173,0.2237960339943343,0.17847025495750707,0.20679886685552407
1170,O. Abdulrahman,85.0,77.0,87.0,74.0,44.0,367.0,0.23160762942779292,0.2098092643051771,0.23705722070844687,0.2016348773841962,0.11989100817438691
1171,O. Trejo,67.0,73.0,85.0,86.0,70.0,381.0,0.17585301837270342,0.19160104986876642,0.2230971128608924,0.22572178477690288,0.1837270341207349
1172,N. Barella,79.0,77.0,76.0,82.0,82.0,396.0,0.1994949494949495,0.19444444444444445,0.1919191919191919,0.20707070707070707,0.20707070707070707
1173,Angeliño,87.0,85.0,75.0,86.0,77.0,410.0,0.2121951219512195,0.2073170731707317,0.18292682926829268,0.2097560975609756,0.1878048780487805
1174,Vieirundinho,63.0,59.0,56.0,80.0,82.0,340.0,0.18529411764705883,0.17352941176470588,0.16470588235294117,0.23529411764705882,0.2411764705882353
1175,F. Orellana,77.0,71.0,79.0,54.0,54.0,335.0,0.2298507462686567,0.21194029850746268,0.23582089552238805,0.16119402985074627,0.16119402985074627
1176,F. Grillitsch,55.0,55.0,68.0,69.0,49.0,296.0,0.1858108108108108,0.1858108108108108,0.22972972972972974,0.23310810810810811,0.16554054054054054
1177,C. Ortíz,68.0,68.0,73.0,90.0,72.0,371.0,0.18328840970350405,0.18328840970350405,0.1967654986522911,0.24258760107816713,0.1940700808625337
1178,Bruno Viana,63.0,64.0,53.0,75.0,78.0,333.0,0.1891891891891892,0.1921921921921922,0.15915915915915915,0.22522522522522523,0.23423423423423423
1179,J. Maidana,48.0,52.0,58.0,58.0,84.0,300.0,0.16,0.17333333333333334,0.19333333333333333,0.19333333333333333,0.28
1180,R. Funes Mori,61.0,68.0,65.0,67.0,83.0,344.0,0.17732558139534885,0.19767441860465115,0.18895348837209303,0.19476744186046513,0.24127906976744187
1181,D. Kohr,66.0,69.0,66.0,79.0,90.0,370.0,0.1783783783783784,0.1864864864864865,0.1783783783783784,0.21351351351351353,0.24324324324324326
1182,F. Higuaín,69.0,57.0,71.0,65.0,65.0,327.0,0.21100917431192662,0.1743119266055046,0.21712538226299694,0.19877675840978593,0.19877675840978593
1183,A. Barák,66.0,68.0,63.0,77.0,58.0,332.0,0.19879518072289157,0.20481927710843373,0.1897590361445783,0.2319277108433735,0.1746987951807229
1184,F. Andone,76.0,73.0,76.0,86.0,86.0,397.0,0.19143576826196473,0.18387909319899245,0.19143576826196473,0.21662468513853905,0.21662468513853905
1185,Adrián,70.0,61.0,73.0,48.0,58.0,310.0,0.22580645161290322,0.1967741935483871,0.23548387096774193,0.15483870967741936,0.1870967741935484
1186,G. González,68.0,68.0,58.0,66.0,79.0,339.0,0.20058997050147492,0.20058997050147492,0.1710914454277286,0.19469026548672566,0.23303834808259588
1187,Otávio,68.0,66.0,72.0,78.0,80.0,364.0,0.18681318681318682,0.1813186813186813,0.1978021978021978,0.21428571428571427,0.21978021978021978
1188,D. Janmaat,68.0,69.0,68.0,86.0,79.0,370.0,0.1837837837837838,0.1864864864864865,0.1837837837837838,0.23243243243243245,0.21351351351351353
1189,R. Funes Mori,78.0,75.0,79.0,84.0,80.0,396.0,0.19696969696969696,0.1893939393939394,0.1994949494949495,0.21212121212121213,0.20202020202020202
1190,P. Schick,74.0,73.0,83.0,62.0,59.0,351.0,0.21082621082621084,0.20797720797720798,0.23646723646723647,0.17663817663817663,0.16809116809116809
1191,Aleix Vidal,89.0,93.0,77.0,70.0,80.0,409.0,0.2176039119804401,0.2273838630806846,0.1882640586797066,0.17114914425427874,0.19559902200489
1192,A. Schöpf,78.0,77.0,78.0,95.0,60.0,388.0,0.20103092783505155,0.19845360824742267,0.20103092783505155,0.24484536082474226,0.15463917525773196
1193,W. Boly,57.0,69.0,55.0,58.0,79.0,318.0,0.1792452830188679,0.2169811320754717,0.17295597484276728,0.18238993710691823,0.24842767295597484
1194,Alberto Moreno,85.0,87.0,84.0,81.0,83.0,420.0,0.20238095238095238,0.20714285714285716,0.2,0.19285714285714287,0.1976190476190476
1195,C. Villanueva,63.0,62.0,89.0,73.0,40.0,327.0,0.1926605504587156,0.18960244648318042,0.27217125382262997,0.22324159021406728,0.12232415902140673
1196,M. Weiser,85.0,77.0,85.0,79.0,69.0,395.0,0.21518987341772153,0.1949367088607595,0.21518987341772153,0.2,0.17468354430379746
1197,G. Escalante,71.0,72.0,66.0,84.0,85.0,378.0,0.18783068783068782,0.19047619047619047,0.1746031746031746,0.2222222222222222,0.22486772486772486
1198,M. Holgate,68.0,71.0,62.0,70.0,75.0,346.0,0.19653179190751446,0.20520231213872833,0.1791907514450867,0.2023121387283237,0.21676300578034682
1199,J. Hopf,42.0,47.0,41.0,23.0,38.0,191.0,0.2198952879581152,0.24607329842931938,0.21465968586387435,0.12041884816753927,0.19895287958115182
1200,D. Zurutuza,63.0,59.0,71.0,61.0,72.0,326.0,0.19325153374233128,0.18098159509202455,0.21779141104294478,0.18711656441717792,0.22085889570552147
1201,Juanmi,77.0,77.0,78.0,70.0,57.0,359.0,0.21448467966573817,0.21448467966573817,0.21727019498607242,0.19498607242339833,0.15877437325905291
1202,K. Gibbs,78.0,80.0,76.0,80.0,72.0,386.0,0.20207253886010362,0.20725388601036268,0.19689119170984457,0.20725388601036268,0.18652849740932642
1203,F. Fernández,47.0,50.0,48.0,65.0,79.0,289.0,0.16262975778546712,0.17301038062283736,0.16608996539792387,0.22491349480968859,0.27335640138408307
1204,L. Kalinić,30.0,39.0,26.0,31.0,39.0,165.0,0.18181818181818182,0.23636363636363636,0.15757575757575756,0.18787878787878787,0.23636363636363636
1205,N. Radoja,52.0,38.0,57.0,64.0,74.0,285.0,0.1824561403508772,0.13333333333333333,0.2,0.22456140350877193,0.2596491228070175
1206,N. Blandi,64.0,61.0,76.0,74.0,49.0,324.0,0.19753086419753085,0.1882716049382716,0.2345679012345679,0.22839506172839505,0.15123456790123457
1207,David Juncà,79.0,77.0,77.0,86.0,75.0,394.0,0.20050761421319796,0.19543147208121828,0.19543147208121828,0.2182741116751269,0.19035532994923857
1208,Wu Lei,88.0,86.0,79.0,71.0,65.0,389.0,0.2262210796915167,0.2210796915167095,0.20308483290488433,0.18251928020565553,0.16709511568123395
1209,Gabriel Boschilia,76.0,73.0,79.0,64.0,47.0,339.0,0.22418879056047197,0.2153392330383481,0.23303834808259588,0.1887905604719764,0.13864306784660768
1210,Iuri Medeiros,79.0,68.0,88.0,53.0,67.0,355.0,0.22253521126760564,0.19154929577464788,0.24788732394366197,0.14929577464788732,0.18873239436619718
1211,M. Phillips,86.0,86.0,78.0,68.0,54.0,372.0,0.23118279569892472,0.23118279569892472,0.20967741935483872,0.1827956989247312,0.14516129032258066
1212,Iván Cuéllar,59.0,43.0,57.0,44.0,28.0,231.0,0.2554112554112554,0.18614718614718614,0.24675324675324675,0.19047619047619047,0.12121212121212122
1213,J. Lössl,29.0,34.0,32.0,25.0,17.0,137.0,0.2116788321167883,0.24817518248175183,0.23357664233576642,0.18248175182481752,0.12408759124087591
1214,Mario Suárez,42.0,58.0,54.0,72.0,73.0,299.0,0.14046822742474915,0.1939799331103679,0.1806020066889632,0.2408026755852843,0.24414715719063546
1215,W. Bony,51.0,50.0,42.0,33.0,75.0,251.0,0.20318725099601595,0.199203187250996,0.16733067729083664,0.13147410358565736,0.29880478087649404
1216,S. Doumbia,87.0,89.0,70.0,51.0,60.0,357.0,0.24369747899159663,0.24929971988795518,0.19607843137254902,0.14285714285714285,0.16806722689075632
1217,D. Reyes,63.0,65.0,68.0,68.0,64.0,328.0,0.19207317073170732,0.19817073170731708,0.2073170731707317,0.2073170731707317,0.1951219512195122
1218,Bernat,79.0,78.0,86.0,77.0,68.0,388.0,0.2036082474226804,0.20103092783505155,0.22164948453608246,0.19845360824742267,0.17525773195876287
1219,V. Behrami,67.0,67.0,70.0,73.0,90.0,367.0,0.18256130790190736,0.18256130790190736,0.1907356948228883,0.1989100817438692,0.2452316076294278
1220,S. Langkamp,51.0,55.0,51.0,53.0,73.0,283.0,0.18021201413427562,0.19434628975265017,0.18021201413427562,0.1872791519434629,0.2579505300353357
1221,J. Sosa,67.0,72.0,74.0,70.0,69.0,352.0,0.1903409090909091,0.20454545454545456,0.21022727272727273,0.19886363636363635,0.19602272727272727
1222,A. Touré,56.0,42.0,38.0,75.0,73.0,284.0,0.19718309859154928,0.14788732394366197,0.13380281690140844,0.2640845070422535,0.25704225352112675
1223,Jesé,85.0,79.0,85.0,61.0,29.0,339.0,0.25073746312684364,0.23303834808259588,0.25073746312684364,0.17994100294985252,0.0855457227138643
1224,D. Ings,79.0,76.0,74.0,70.0,60.0,359.0,0.2200557103064067,0.2116991643454039,0.20612813370473537,0.19498607242339833,0.1671309192200557
1225,M. Esser,32.0,48.0,30.0,37.0,40.0,187.0,0.1711229946524064,0.25668449197860965,0.16042780748663102,0.19786096256684493,0.21390374331550802
1226,F. Acheampong,92.0,94.0,93.0,90.0,66.0,435.0,0.21149425287356322,0.2160919540229885,0.21379310344827587,0.20689655172413793,0.15172413793103448
1227,R. Knoche,50.0,46.0,52.0,61.0,68.0,277.0,0.18050541516245489,0.16606498194945848,0.18772563176895307,0.22021660649819494,0.24548736462093862
1228,O. Vlachodimos,42.0,44.0,60.0,39.0,32.0,217.0,0.1935483870967742,0.20276497695852536,0.2764976958525346,0.17972350230414746,0.14746543778801843
1229,J. Denayer,69.0,71.0,66.0,69.0,71.0,346.0,0.1994219653179191,0.20520231213872833,0.1907514450867052,0.1994219653179191,0.20520231213872833
1230,S. Rode,69.0,64.0,70.0,68.0,83.0,354.0,0.19491525423728814,0.1807909604519774,0.1977401129943503,0.192090395480226,0.2344632768361582
1231,Wendel,76.0,80.0,78.0,77.0,68.0,379.0,0.20052770448548812,0.21108179419525067,0.20580474934036938,0.20316622691292877,0.17941952506596306
1232,A. Nagy,73.0,73.0,82.0,78.0,65.0,371.0,0.1967654986522911,0.1967654986522911,0.2210242587601078,0.21024258760107817,0.1752021563342318
1233,Alfa Semedo,68.0,69.0,54.0,89.0,81.0,361.0,0.1883656509695291,0.19113573407202217,0.14958448753462603,0.24653739612188366,0.22437673130193905
1234,A. Barnes,64.0,60.0,68.0,77.0,87.0,356.0,0.1797752808988764,0.16853932584269662,0.19101123595505617,0.21629213483146068,0.2443820224719101
1235,Alan Kardec,73.0,70.0,68.0,78.0,53.0,342.0,0.2134502923976608,0.2046783625730994,0.19883040935672514,0.22807017543859648,0.15497076023391812
1236,Marcelo,66.0,64.0,64.0,66.0,73.0,333.0,0.1981981981981982,0.1921921921921922,0.1921921921921922,0.1981981981981982,0.21921921921921922
1237,E. Boateng,89.0,88.0,89.0,79.0,64.0,409.0,0.2176039119804401,0.21515892420537897,0.2176039119804401,0.19315403422982885,0.15647921760391198
1238,Dalbert,91.0,91.0,83.0,80.0,74.0,419.0,0.2171837708830549,0.2171837708830549,0.19809069212410502,0.1909307875894988,0.1766109785202864
1239,A. Halilović,78.0,74.0,78.0,68.0,40.0,338.0,0.23076923076923078,0.21893491124260356,0.23076923076923078,0.20118343195266272,0.11834319526627218
1240,I. Popov,80.0,73.0,75.0,73.0,73.0,374.0,0.21390374331550802,0.19518716577540107,0.20053475935828877,0.19518716577540107,0.19518716577540107
1241,T. Cleverley,63.0,69.0,69.0,77.0,71.0,349.0,0.18051575931232092,0.1977077363896848,0.1977077363896848,0.22063037249283668,0.2034383954154728
1242,M. Livaja,72.0,76.0,62.0,68.0,88.0,366.0,0.19672131147540983,0.20765027322404372,0.16939890710382513,0.18579234972677597,0.24043715846994534
1243,M. Uribe,76.0,74.0,70.0,92.0,72.0,384.0,0.19791666666666666,0.19270833333333334,0.18229166666666666,0.23958333333333334,0.1875
1244,P. Bargfrede,61.0,54.0,74.0,70.0,86.0,345.0,0.17681159420289855,0.1565217391304348,0.2144927536231884,0.2028985507246377,0.2492753623188406
1245,J. Jankto,79.0,79.0,76.0,73.0,68.0,375.0,0.21066666666666667,0.21066666666666667,0.20266666666666666,0.19466666666666665,0.18133333333333335
1246,Junior Firpo,81.0,80.0,63.0,77.0,55.0,356.0,0.22752808988764045,0.2247191011235955,0.17696629213483145,0.21629213483146068,0.1544943820224719
1247,D. D'Ambrosio,72.0,72.0,74.0,76.0,77.0,371.0,0.1940700808625337,0.1940700808625337,0.19946091644204852,0.20485175202156333,0.20754716981132076
1248,D. Boyko,49.0,48.0,58.0,33.0,38.0,226.0,0.2168141592920354,0.21238938053097345,0.25663716814159293,0.14601769911504425,0.168141592920354
1249,M. Díaz,63.0,51.0,75.0,84.0,80.0,353.0,0.17847025495750707,0.14447592067988668,0.21246458923512748,0.23796033994334279,0.22662889518413598
1250,S. Vokes,50.0,55.0,50.0,73.0,80.0,308.0,0.16233766233766234,0.17857142857142858,0.16233766233766234,0.237012987012987,0.2597402597402597
1251,Héldon,86.0,84.0,83.0,74.0,46.0,373.0,0.23056300268096513,0.225201072386059,0.2225201072386059,0.19839142091152814,0.12332439678284182
1252,Mario Hermoso,78.0,88.0,78.0,77.0,76.0,397.0,0.1964735516372796,0.2216624685138539,0.1964735516372796,0.19395465994962216,0.19143576826196473
1253,F. Bartels,79.0,76.0,78.0,65.0,55.0,353.0,0.2237960339943343,0.21529745042492918,0.22096317280453256,0.18413597733711048,0.1558073654390935
1254,K. Malcuit,80.0,87.0,76.0,77.0,77.0,397.0,0.20151133501259447,0.21914357682619648,0.19143576826196473,0.19395465994962216,0.19395465994962216
1255,R. Marin,66.0,68.0,73.0,79.0,66.0,352.0,0.1875,0.19318181818181818,0.20738636363636365,0.22443181818181818,0.1875
1256,Ayoze Pérez,77.0,75.0,83.0,77.0,70.0,382.0,0.20157068062827224,0.19633507853403143,0.21727748691099477,0.20157068062827224,0.18324607329842932
