,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
130,Marek Hamsik ,35, M(C),FW,23(5),1985,7,5,2,2,0.6,7.01,0
133,Adem Ljajic ,31, AM(CLR),FW,17(11),1621,6,5,1.9,1.3,1.4,7.01,0
153,Omar El Kaddouri ,32, AM(CL),,25(4),2113,5,7,1.1,1.4,1.1,6.98,0
155,Germán Denis ,41, FW,,36(1),3241,13,5,2.4,1.4,0.6,6.97,0
160,Jonathan Biabiany ,34, M(LR),FW,32(4),2746,6,5,1.4,0.9,1.6,6.97,0
162,Paulinho ,36, FW,,35,3144,15,3,2.8,1.3,1.2,6.96,0
171,Miroslav Klose ,44, FW,,22(3),2019,7,2,1.7,0.7,0.8,6.95,0
175,Roberto Pereyra ,31, M(CLR),FW,33(3),2950,2,6,0.5,1.6,2.2,6.95,0
180,Lazaros Christodoulopoulos ,35, AM(CLR),FW,20(7),1834,2,2,2.2,1.7,1.7,6.93,0
188,Éder ,35, AM(CLR),FW,30(3),2510,12,6,2.7,1.2,1.5,6.92,0
192,Lucas Castro ,33, AM(CLR),,23(6),1976,3,2,1.4,1.3,1.3,6.91,0
195,Antonio Di Natale ,45, FW,,29(3),2413,17,0,3.7,1.4,0.4,6.9,0
196,Keita Baldé ,27, AM(LR),FW,14(11),1371,5,3,2,1,1.5,6.9,0
199,Matías Fernández ,36, AM(C),,12(11),1309,3,3,1.4,1.1,1.2,6.89,0
210,Victor Ibarbo ,32, AM(LR),FW,20(10),2030,4,2,1.2,1.1,2.4,6.88,0
221,Roberto Soriano ,31, AM(CLR),,21(8),1935,5,1,1.6,1.3,0.9,6.86,0
240,Jaime Valdés ,41, AM(C),,5(1),454,0,0,0.8,0.3,1.3,6.82,0
244,Cyril Théréau ,39, AM(CL),FW,28(4),2371,7,1,1.8,1.3,1.1,6.82,0
248,Antonio Floro Flores ,39, AM(L),FW,17(12),1507,7,3,2.8,0.7,0.6,6.81,0
261,Juanito Gómez ,37, AM(LR),FW,14(15),1396,5,5,1.1,0.6,0.6,6.78,0
267,Amauri ,42, FW,,20(11),1792,8,0,2.5,0.5,0.6,6.77,0
271,Joaquín ,41, M(CLR),FW,15(11),1420,2,2,0.7,1.1,1.8,6.76,0
272,Stefano Mauri ,42, M(CLR),FW,8(4),694,4,2,1.6,0.9,0.2,6.75,0
288,Gonzalo Bergessio ,38, FW,,28(2),2430,10,3,2.8,1,0.4,6.73,0
290,Maximiliano Moralez ,35, M(CLR),FW,26(6),2321,5,6,1.1,1.6,0.7,6.73,0
293,Mauro Icardi ,29, FW,,12(10),1309,9,2,1.8,0.8,0.1,6.73,0
304,Mario Gomez ,37, FW,,5(4),498,3,1,1.4,0.3,0.2,6.72,0
306,Goran Pandev ,39, M(CR),FW,17(12),1387,7,4,0.9,1,0.7,6.71,0
310,Victor Obinna ,35, FW,,4(6),398,2,0,1.8,0.7,0.9,6.71,0
316,Josip Ilicic ,34, AM(CLR),FW,13(8),1108,3,1,1.9,1,0.9,6.71,0
318,Valter Birsa ,36, M(CLR),FW,10(5),756,2,0,1.5,1.2,1,6.7,0
