,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
119,6.86,Liam Cooper Leeds,30, D(C),21,1815,-,1,0.3,0.2,0.1,0.4,0.1,-,0.4
120,6.86,Josh Brownhill Burnley,26, M(CR),32(3),2953,2,3,0.8,1.1,0.4,0.6,-,0.5,1.1
121,6.86,Curtis Jones Liverpool,21, AM(C),10(5),856,1,1,1.3,0.7,1.7,1.3,0.1,1.2,1.1
122,6.86,Saïd Benrahma West Ham,27, AM(CLR),26(6),2184,8,6,2,1.0,1.2,0.5,0.3,0.9,1.9
123,6.86,Gabriel Martinelli Arsenal,21, AM(L),21(8),1866,6,6,1.8,1.2,1.6,0.7,0.3,1.2,2.0
124,6.86,Diogo Dalot Man Utd,23, D(LR),19(5),1799,-,-,0.5,0.7,0.7,0.2,-,0.3,1.0
125,6.85,Rúben Neves Wolves,25, DMC,31(2),2663,4,2,1.3,0.8,0.8,0.4,-,0.5,1.0
126,6.85,Kai Havertz Chelsea,23, M(CR),22(7),1816,8,3,1.9,0.7,0.6,0.9,0.4,1.1,2.3
127,6.85,Roberto Firmino Liverpool,30, M(CLR),10(10),987,5,4,1.5,0.8,0.9,0.3,0.2,1.3,1.7
128,6.84,José Sá Wolves,29, GK,37,3286,-,1,-,0.1,0.1,0.3,-,-,0.1
129,6.84,Kyle Walker-Peters Southampton,25, D(LR),29(3),2632,1,2,0.8,0.8,2.0,1.5,0.1,1.3,1.3
130,6.83,James McArthur Crystal Palace,34, M(CLR),15(6),1438,-,3,0.4,0.8,1,1.0,0.1,0.7,1
131,6.83,Takehiro Tomiyasu Arsenal,23, D(CR),20(1),1682,-,1,0.5,0.6,0.4,0.6,-,0.6,1.3
132,6.82,Mohammed Salisu Southampton,23, D(CL),33(1),2972,-,-,0.7,0.3,0.4,0.2,0.1,0.3,0.5
133,6.82,Joelinton Newcastle,26, AM(CLR),30(5),2559,4,1,1.3,0.8,1.1,0.9,0.1,1.7,2.4
134,6.82,Lucas Moura Tottenham,30, AM(CLR),19(15),1774,2,6,1.1,1.0,1.6,1.1,0.1,1,1.7
135,6.82,César Azpilicueta Chelsea,32, D(CLR),24(3),2075,1,2,0.4,0.6,0.6,0.2,0.1,0.4,0.8
136,6.82,Charlie Taylor Burnley,28, D(CL),30(1),2731,-,3,0.2,0.7,0.9,1.4,-,0.5,1
137,6.82,Nélson Semedo Wolves,28, D(LR),25,2137,-,1,0.8,0.7,1.6,1.0,0.2,1.1,2
138,6.82,Nick Pope Burnley,30, GK,36,3240,-,-,-,0.1,-,0.1,-,-,-
139,6.82,Romelu Lukaku Chelsea,29, AM(R),16(10),1586,8,-,1.7,0.9,0.5,0.5,0.5,1,1.4
140,6.82,Ross Barkley Chelsea,28, M(CLR),1(5),176,1,-,1.5,1.3,1.2,0.7,-,1.2,0.5
141,6.81,Jan Bednarek Southampton,26, D(C),30(1),2633,4,-,0.6,0.2,-,0.5,-,0.1,0.2
142,6.8,Dan Burn Brighton,30, D(CL),12(1),1023,1,-,0.5,0.2,-,-,-,0.1,0.5
143,6.8,Pablo Fornals West Ham,26, M(CLR),32(4),2804,6,3,1.2,1.3,0.6,0.8,0.2,0.8,1.3
144,6.8,David Raya Brentford,26, GK,24,2160,-,-,-,-,-,0.1,-,-,0.1
145,6.8,Joël Veltman Brighton,30, D(CR),33(1),2881,1,1,0.4,0.5,0.5,1.1,-,0.3,0.8
146,6.8,Lucas Digne Everton,29, D(CL),13,1170,-,-,0.7,1.7,0.6,0.7,-,0.5,0.7
147,6.79,Calum Chambers Aston Villa,27, D(CR),9(2),829,1,-,0.3,0.2,-,0.2,-,0.1,0.3
148,6.79,Naby Keïta Liverpool,27, M(C),14(9),1175,3,1,1.1,0.7,0.7,0.4,-,0.4,1.3
149,6.79,Pascal Groß Brighton,31, M(CR),24(5),2043,2,4,0.8,2.1,0.3,0.2,0.1,0.5,0.9
150,6.79,Harvey Barnes Leicester,24, AM(CL),24(8),2107,6,10,2.1,0.9,1,0.6,0.3,1.3,1.8
151,6.79,Hugo Lloris Tottenham,35, GK,38,3420,-,-,-,0.1,-,0.1,-,-,0.1
152,6.78,João Pedro Watford,20, AM(L),15(13),1639,3,1,1.7,0.7,2.2,1.1,0.2,2.1,2.3
153,6.78,Stuart Dallas Leeds,31, D(LR),34,2929,1,1,0.9,0.9,0.9,0.9,0.1,0.7,1.1
154,6.78,Raphaël Varane Man Utd,29, D(C),20(2),1829,1,1,0.4,0.2,0.1,0.3,-,-,0.3
155,6.78,Demarai Gray Everton,26, AM(CLR),28(6),2352,5,4,1.9,1.2,1.6,0.9,0.1,1.1,2.1
156,6.78,Ben Davies Tottenham,29, D(CL),28(1),2540,1,1,0.6,0.4,0.2,0.6,0.2,0.3,0.8
157,6.78,Ben White Arsenal,24, D(CR),32,2880,-,-,0.4,0.4,0.3,0.8,-,0.3,0.6
158,6.77,Douglas Luiz Aston Villa,24, M(C),31(3),2720,2,3,0.7,1.1,0.7,1.2,-,0.5,1.5
159,6.77,Marc Guéhi Crystal Palace,22, D(C),36,3223,2,1,0.5,0.2,0.3,0.9,-,0.2,0.4
160,6.77,Daniel Podence Wolves,26, AM(CLR),15(11),1486,2,3,1.3,1.4,1.3,1.0,0.1,1.3,1.3
161,6.77,Callum Hudson-Odoi Chelsea,21, M(CLR),11(4),966,1,2,1.2,1.7,1.1,1.1,0.3,1.3,1.5
162,6.77,Malang Sarr Chelsea,23, D(CL),6(2),546,-,-,0.1,0.4,-,0.1,-,0.3,0.8
163,6.77,Jacob Ramsey Aston Villa,21, AM(C),29(5),2477,6,1,1,0.6,0.9,1.3,-,1.1,1.7
164,6.77,Kieran Tierney Arsenal,25, D(CL),22,1919,1,3,0.7,0.9,0.4,0.7,-,0.4,0.8
165,6.77,Eric Dier Tottenham,28, D(CR),35,3072,-,-,0.4,0.2,-,0.3,-,0.1,0.1
166,6.76,Pontus Jansson Brentford,31, D(C),37,3322,3,1,0.6,0.1,0.1,0.2,0.1,0.1,0.3
167,6.76,Lukasz Fabianski West Ham,37, GK,37,3330,-,-,-,-,-,0.2,-,-,-
168,6.76,Jonny Wolves,28, D(CLR),10(3),1023,2,-,0.8,0.8,1.1,1.2,-,1.5,1.6
169,6.76,Jonny Evans Leicester,34, D(CL),16(2),1350,1,1,0.2,0.2,0.1,0.6,-,-,0.2
170,6.75,Alexis Mac Allister Brighton,23, M(CL),22(11),2118,5,2,1.8,0.9,0.6,1.2,0.1,0.7,1.3
171,6.75,Marçal Wolves,33, D(CL),17(1),1453,-,-,0.6,0.6,0.4,0.5,0.1,0.3,1.4
172,6.75,Tyrick Mitchell Crystal Palace,22, D(L),35(1),3103,-,2,0.1,0.6,0.4,0.4,0.1,0.7,1.3
173,6.75,Aaron Cresswell West Ham,32, D(CL),31,2728,2,3,0.6,1.0,0.3,0.3,0.1,0.1,0.5
174,6.75,Emiliano Buendía Aston Villa,25, M(CLR),22(13),1902,4,6,1.3,1.4,1.1,1.3,0.1,1.2,1.2
175,6.74,Gabriel Magalhães Arsenal,24, D(C),35,3068,5,-,0.8,0.3,0.1,1.1,-,0.1,0.5
176,6.74,Kurt Zouma West Ham,27, D(CR),24,2080,1,-,0.3,0.1,-,0.3,-,-,0.3
177,6.74,Emile Smith Rowe Arsenal,22, AM(CL),21(12),1922,10,2,1.2,0.9,1,0.6,0.1,0.8,1.2
178,6.74,Cheikhou Kouyaté Crystal Palace,32, D(CR),23(4),1978,-,1,0.3,0.2,0.5,0.8,-,0.4,1.1
179,6.74,Çaglar Söyüncü Leicester,26, D(C),28,2498,1,-,0.3,0.1,0.1,0.5,-,0.1,0.3
180,6.74,Pierre-Emerick Aubameyang Arsenal,33, M(CLR),12(2),1040,4,1,2.5,0.6,0.1,0.6,0.7,0.3,1.1
181,6.74,Asmir Begovic Everton,35, GK,3,270,-,-,-,-,-,-,-,-,-
182,6.74,Bryan Mbeumo Brentford,23, AM(LR),34(1),2916,4,7,2.2,1,1.1,1.1,0.4,1.6,2.5
183,6.74,Tyrone Mings Aston Villa,29, D(CL),35(1),3188,1,3,0.6,0.3,0.3,0.7,-,0.1,0.5
184,6.74,Alexandre Lacazette Arsenal,31, M(CLR),20(10),1789,4,7,1.5,1,0.6,1,0.2,1,1.4
185,6.73,Valentino Livramento Southampton,19, D(R),25(3),2203,1,1,0.4,0.7,1.1,1.3,-,0.7,1.9
186,6.73,Lewis Dunk Brighton,30, D(C),29,2574,1,-,0.7,0.1,0.1,0.1,-,0.1,0.4
187,6.73,Kasper Schmeichel Leicester,35, GK,37,3330,-,-,-,-,-,0.1,-,-,0.1
188,6.73,Kristoffer Ajer Brentford,24, D(CR),23(1),1987,1,3,0.3,0.3,0.5,0.7,-,0.3,1
189,6.73,Vitaly Janelt Brentford,24, DMC,27(4),2309,4,-,1,0.7,0.4,0.8,0.1,0.4,1.1
190,6.73,Grant Hanley Norwich,30, D(C),33,2899,1,-,0.6,0.2,-,0.7,0.1,-,0.3
191,6.73,Luke Thomas Leicester,21, D(L),21(1),1912,-,1,0.2,0.5,0.7,0.7,-,0.9,1.5
192,6.73,Jeffrey Schlupp Crystal Palace,29, D(L),20(12),1846,4,1,1.0,0.6,1.1,0.7,-,1,1.3
193,6.72,Abdoulaye Doucouré Everton,29, M(C),29(1),2538,2,4,1.1,0.6,0.7,0.5,-,0.7,1.4
194,6.72,Francisco Sierralta Watford,25, D(C),5,428,-,-,0.2,-,0.4,0.6,-,-,0.2
195,6.72,Joel Ward Crystal Palace,32, D(LR),27(1),2486,-,-,0.4,0.3,0.7,0.8,-,0.6,1.0
196,6.72,Che Adams Southampton,26, AM(CL),23(7),2043,7,3,1.6,0.9,0.7,1.3,0.2,1.1,2.0
197,6.72,Michael Keane Everton,29, D(CR),31(1),2793,3,2,0.6,0.3,0.2,0.2,-,0.1,0.2
198,6.72,Chris Wood Newcastle,30, FW,15(2),1328,2,-,1.2,0.6,0.1,0.6,0.6,0.5,2.6
199,6.72,Adam Webster Brighton,27, D(C),16(6),1432,2,-,0.4,-,0.5,0.2,-,-,0.4
200,6.72,Kyle Walker Man City,32, D(CR),20,1756,-,2,0.4,0.6,0.4,0.6,0.1,0.3,0.8
201,6.71,Matt Targett Aston Villa,26, D(L),17,1434,1,1,0.4,1.2,0.1,0.6,-,0.2,0.5
202,6.71,Fraser Forster Southampton,34, GK,19,1710,-,-,-,-,-,0.2,-,-,-
203,6.71,Andros Townsend Everton,31, AM(LR),17(4),1459,3,2,1,1.5,1.2,1.9,-,0.9,2.1
204,6.71,Erik Pieters Burnley,34, D(L),8(4),727,-,1,0.6,0.2,0.3,0.4,-,0.2,1.2
205,6.7,Joshua King Watford,30, AM(CLR),27(5),2251,5,3,1.6,1.1,0.9,0.7,0.3,1.3,2.6
